,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
119,221,ΣΩΚΡΑΤΟΥΣ,11,7,13,19,"ΣΩΚΡΑΤΟΥΣ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63465259796335,22.949577187772604
120,223,ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ,1,1,1,8,"ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ 1, ΘΕΣΣΑΛΟΝΙΚΗ",40.63556430585164,22.950384806481765
121,225,ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ,14,10,18,27,"ΜΟΙΡΑΡΧΟΥ ΔΗΜΗΤΡΙΟΥ ΚΟΥΦΙΤΣΑ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.636192637344095,22.95098637519903
122,227,ΙΟΥΛΙΑΝΟΥ,4,2,4,17,"ΙΟΥΛΙΑΝΟΥ 4, ΘΕΣΣΑΛΟΝΙΚΗ",40.63529980010637,22.951033821746403
123,228,ΙΟΥΛΙΑΝΟΥ,11,7,15,28,"ΙΟΥΛΙΑΝΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63593636681407,22.95158747949653
124,230,ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ,5,3,7,8,"ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63455473954325,22.951157850664888
125,231,ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ,11,9,11,6,"ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63506666389361,22.95160648685469
126,232,ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ,18,14,22,15,"ΥΠΟΥΡΓΟΥ ΦΙΛΙΠΠΟΥ ΔΡΑΓΟΥΜΗ 18, ΘΕΣΣΑΛΟΝΙΚΗ",40.6356507656239,22.952174642742406
127,236,ΑΡΡΙΑΝΟΥ,3,1,3,22,"ΑΡΡΙΑΝΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63374480530282,22.951269397219484
128,237,ΑΡΡΙΑΝΟΥ,11,7,13,25,"ΑΡΡΙΑΝΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63423511435223,22.95168307089959
129,238,ΑΡΡΙΑΝΟΥ,17,15,19,15,"ΑΡΡΙΑΝΟΥ 17, ΘΕΣΣΑΛΟΝΙΚΗ",40.63476798408215,22.95218307529688
130,239,ΔΗΜ. ΓΟΥΝΑΡΗ,47,43,49,20,"ΔΗΜ. ΓΟΥΝΑΡΗ 47, ΘΕΣΣΑΛΟΝΙΚΗ",40.632640934283536,22.95197165496037
131,240,ΔΗΜ. ΓΟΥΝΑΡΗ,57,51,63,57,"ΔΗΜ. ΓΟΥΝΑΡΗ 57, ΘΕΣΣΑΛΟΝΙΚΗ",40.634246092764,22.953776928586542
132,242,ΔΗΜ. ΓΟΥΝΑΡΗ,67,65,69,29,"ΔΗΜ. ΓΟΥΝΑΡΗ 67, ΘΕΣΣΑΛΟΝΙΚΗ",40.63496541564929,22.954448596675448
133,245,ΕΘΝΙΚΗΣ ΑΜΥΝΗΣ,0,0,0,51,"ΕΘ. ΑΜΥΝΗΣ 000, ΘΕΣΣΑΛΟΝΙΚΗ",40.63366663709646,22.955792804423385
134,247,ΙΟΥΣΤΙΝΙΑΝΟΥ,17,13,23,23,"ΙΟΥΣΤΙΝΙΑΝΟΥ 17, ΘΕΣΣΑΛΟΝΙΚΗ",40.63758445002442,22.9430976886082
